UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_r	tib_ant_r
    449.00000000	      8.98000000	      0.05599268	      0.05505759
    450.00000000	      9.00000000	      0.05748449	      0.05317605
    451.00000000	      9.02000000	      0.05860309	      0.05174761
    452.00000000	      9.04000000	      0.05934914	      0.05078560
    453.00000000	      9.06000000	      0.05972745	      0.05029477
    454.00000000	      9.08000000	      0.05974190	      0.05027597
    455.00000000	      9.10000000	      0.05939268	      0.05072921
    456.00000000	      9.12000000	      0.05867611	      0.05165379
    457.00000000	      9.14000000	      0.05758730	      0.05304542
    458.00000000	      9.16000000	      0.05612504	      0.05489165
    459.00000000	      9.18000000	      0.05429768	      0.05716717
    460.00000000	      9.20000000	      0.05212839	      0.05983078
    461.00000000	      9.22000000	      0.04964824	      0.06282487
    462.00000000	      9.24000000	      0.04691803	      0.06607737
    463.00000000	      9.26000000	      0.04402369	      0.06950550
    464.00000000	      9.28000000	      0.04104643	      0.07302054
    465.00000000	      9.30000000	      0.03807364	      0.07653280
    466.00000000	      9.32000000	      0.03519547	      0.07995625
    467.00000000	      9.34000000	      0.03250074	      0.08321247
    468.00000000	      9.36000000	      0.03007084	      0.08623361
    469.00000000	      9.38000000	      0.02797135	      0.08896429
    470.00000000	      9.40000000	      0.02624263	      0.09136210
    471.00000000	      9.42000000	      0.02489345	      0.09339713
    472.00000000	      9.44000000	      0.02390130	      0.09505024
    473.00000000	      9.46000000	      0.02322835	      0.09631078
    474.00000000	      9.48000000	      0.02281843	      0.09717395
    475.00000000	      9.50000000	      0.02261598	      0.09763827
    476.00000000	      9.52000000	      0.02258854	      0.09770359
    477.00000000	      9.54000000	      0.02273142	      0.09736992
    478.00000000	      9.56000000	      0.02306826	      0.09663728
    479.00000000	      9.58000000	      0.02364788	      0.09550654
    480.00000000	      9.60000000	      0.02453114	      0.09398113
    481.00000000	      9.62000000	      0.02575958	      0.09206952
    482.00000000	      9.64000000	      0.02736338	      0.08978776
    483.00000000	      9.66000000	      0.02934445	      0.08716204
    484.00000000	      9.68000000	      0.03167234	      0.08423054
    485.00000000	      9.70000000	      0.03428874	      0.08104440
    486.00000000	      9.72000000	      0.03711641	      0.07766754
    487.00000000	      9.74000000	      0.04006818	      0.07417518
