UNKNOWN
version=1
nRows=5001
nColumns=6
inDegrees=no
endheader
time	Coordinates(Deg.)	soleus_l	soleus_r	tib_ant_l	tib_ant_r
    228.00000000	     40.45400000	      0.03668539	      0.04086869	      0.07817954	      0.07323030
    229.00000000	     40.45600000	      0.03653248	      0.04088871	      0.07836136	      0.07320667
    230.00000000	     40.45800000	      0.03637733	      0.04091430	      0.07854595	      0.07317647
    231.00000000	     40.46000000	      0.03621989	      0.04094476	      0.07873339	      0.07314053
    232.00000000	     40.46200000	      0.03606008	      0.04097919	      0.07892377	      0.07309989
    233.00000000	     40.46400000	      0.03589780	      0.04101662	      0.07911723	      0.07305572
    234.00000000	     40.46600000	      0.03573292	      0.04105592	      0.07931394	      0.07300934
    235.00000000	     40.46800000	      0.03556528	      0.04109585	      0.07951409	      0.07296222
    236.00000000	     40.47000000	      0.03539469	      0.04113506	      0.07971795	      0.07291595
    237.00000000	     40.47200000	      0.03522092	      0.04117210	      0.07992579	      0.07287224
    238.00000000	     40.47400000	      0.03504371	      0.04120541	      0.08013796	      0.07283293
    239.00000000	     40.47600000	      0.03486273	      0.04123339	      0.08035486	      0.07279991
    240.00000000	     40.47800000	      0.03467764	      0.04125438	      0.08057692	      0.07277514
    241.00000000	     40.48000000	      0.03448808	      0.04126671	      0.08080464	      0.07276059
    242.00000000	     40.48200000	      0.03429361	      0.04126868	      0.08103854	      0.07275827
    243.00000000	     40.48400000	      0.03409380	      0.04125865	      0.08127920	      0.07277011
    244.00000000	     40.48600000	      0.03388818	      0.04123503	      0.08152724	      0.07279798
    245.00000000	     40.48800000	      0.03367625	      0.04119634	      0.08178330	      0.07284363
    246.00000000	     40.49000000	      0.03345751	      0.04114125	      0.08204805	      0.07290865
    247.00000000	     40.49200000	      0.03323148	      0.04106859	      0.08232218	      0.07299440
    248.00000000	     40.49400000	      0.03299766	      0.04097740	      0.08260634	      0.07310201
    249.00000000	     40.49600000	      0.03275561	      0.04086698	      0.08290119	      0.07323231
    250.00000000	     40.49800000	      0.03250493	      0.04073694	      0.08320734	      0.07338579
    251.00000000	     40.50000000	      0.03224527	      0.04058714	      0.08352534	      0.07356258
    252.00000000	     40.50200000	      0.03197633	      0.04041790	      0.08385574	      0.07376234
    253.00000000	     40.50400000	      0.03169794	      0.04022979	      0.08419891	      0.07398439
    254.00000000	     40.50600000	      0.03141004	      0.04002382	      0.08455517	      0.07422756
    255.00000000	     40.50800000	      0.03111264	      0.03980138	      0.08492472	      0.07449022
    256.00000000	     40.51000000	      0.03080595	      0.03956426	      0.08530761	      0.07477026
    257.00000000	     40.51200000	      0.03049028	      0.03931456	      0.08570375	      0.07506524
    258.00000000	     40.51400000	      0.03016614	      0.03905475	      0.08611286	      0.07537225
    259.00000000	     40.51600000	      0.02983418	      0.03878760	      0.08653451	      0.07568807
    260.00000000	     40.51800000	      0.02949525	      0.03851612	      0.08696807	      0.07600914
    261.00000000	     40.52000000	      0.02915037	      0.03824352	      0.08741272	      0.07633170
    262.00000000	     40.52200000	      0.02880070	      0.03797313	      0.08786746	      0.07665183
    263.00000000	     40.52400000	      0.02844763	      0.03770834	      0.08833104	      0.07696551
    264.00000000	     40.52600000	      0.02809266	      0.03745254	      0.08880207	      0.07726874
    265.00000000	     40.52800000	      0.02773742	      0.03720903	      0.08927897	      0.07755761
    266.00000000	     40.53000000	      0.02738369	      0.03698087	      0.08975994	      0.07782846
