UNKNOWN
version=1
nRows=5001
nColumns=5
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	soleus_l	tib_ant_l
   1352.00000000	     42.70200000	      0.06558578	      0.03562276	      0.07944545
   1353.00000000	     42.70400000	      0.06504399	      0.03531025	      0.07981893
   1354.00000000	     42.70600000	      0.06450695	      0.03500275	      0.08018702
   1355.00000000	     42.70800000	      0.06397560	      0.03470100	      0.08054888
   1356.00000000	     42.71000000	      0.06345083	      0.03440559	      0.08090381
   1357.00000000	     42.71200000	      0.06293335	      0.03411700	      0.08125124
   1358.00000000	     42.71400000	      0.06242384	      0.03383557	      0.08159076
   1359.00000000	     42.71600000	      0.06192264	      0.03356149	      0.08192214
   1360.00000000	     42.71800000	      0.06143003	      0.03329482	      0.08224530
   1361.00000000	     42.72000000	      0.06094614	      0.03303550	      0.08256030
   1362.00000000	     42.72200000	      0.06047111	      0.03278339	      0.08286731
   1363.00000000	     42.72400000	      0.06000487	      0.03253824	      0.08316661
   1364.00000000	     42.72600000	      0.05954726	      0.03229975	      0.08345854
   1365.00000000	     42.72800000	      0.05909810	      0.03206759	      0.08374350
   1366.00000000	     42.73000000	      0.05865785	      0.03184160	      0.08402167
   1367.00000000	     42.73200000	      0.05822559	      0.03162128	      0.08429364
   1368.00000000	     42.73400000	      0.05750096	      0.03140637	      0.08455972
   1369.00000000	     42.73600000	      0.05708397	      0.03119668	      0.08482013
   1370.00000000	     42.73800000	      0.05667349	      0.03099210	      0.08507499
   1371.00000000	     42.74000000	      0.05626959	      0.03079260	      0.08532431
   1372.00000000	     42.74200000	      0.05587274	      0.03059832	      0.08556792
   1373.00000000	     42.74400000	      0.05548345	      0.03040950	      0.08580548
   1374.00000000	     42.74600000	      0.05510235	      0.03022648	      0.08603651
   1375.00000000	     42.74800000	      0.05473022	      0.03004975	      0.08626037
   1376.00000000	     42.75000000	      0.05436796	      0.02987989	      0.08647628
   1377.00000000	     42.75200000	      0.05401664	      0.02971762	      0.08668326
   1378.00000000	     42.75400000	      0.05367742	      0.02956371	      0.08688024
   1379.00000000	     42.75600000	      0.05335148	      0.02941901	      0.08706605
   1380.00000000	     42.75800000	      0.05304015	      0.02928445	      0.08723941
   1381.00000000	     42.76000000	      0.05274478	      0.02916098	      0.08739898
