UNKNOWN
version=1
nRows=1928
nColumns=8
inDegrees=no
endheader
time	Coordinates(Deg.)	med_gas_l	med_gas_r	soleus_l	soleus_r	tib_ant_l	tib_ant_r
   1655.00000000	     16.55000000	      0.06575003	      0.08018592	      0.03795947	      0.04418806	      0.07666800	      0.06931121
   1656.00000000	     16.56000000	      0.06216424	      0.08018247	      0.03576248	      0.04433172	      0.07927866	      0.06914137
   1657.00000000	     16.57000000	      0.05905867	      0.08031568	      0.03375815	      0.04456081	      0.08168428	      0.06887046
   1658.00000000	     16.58000000	      0.05627317	      0.08055784	      0.03204830	      0.04485175	      0.08376722	      0.06852630
   1659.00000000	     16.59000000	      0.05391893	      0.08087852	      0.03070284	      0.04517916	      0.08543677	      0.06813882
   1660.00000000	     16.60000000	      0.05207099	      0.08124785	      0.02975595	      0.04551874	      0.08663430	      0.06773674
   1661.00000000	     16.61000000	      0.05076607	      0.08163927	      0.02921118	      0.04584951	      0.08733405	      0.06734487
   1662.00000000	     16.62000000	      0.05000438	      0.08203148	      0.02905150	      0.04615549	      0.08754088	      0.06698218
   1663.00000000	     16.63000000	      0.04975712	      0.08240939	      0.02924788	      0.04642644	      0.08728663	      0.06666083
   1664.00000000	     16.64000000	      0.04997317	      0.08276428	      0.02976254	      0.04665789	      0.08662589	      0.06638620
   1665.00000000	     16.65000000	      0.05058404	      0.08309314	      0.03054790	      0.04685044	      0.08563128	      0.06615763
   1666.00000000	     16.66000000	      0.05150868	      0.08339756	      0.03154508	      0.04700862	      0.08438789	      0.06596979
   1667.00000000	     16.67000000	      0.05265938	      0.08368226	      0.03268545	      0.04713944	      0.08298679	      0.06581439
   1668.00000000	     16.68000000	      0.05394872	      0.08395368	      0.03389602	      0.04725104	      0.08151776	      0.06568179
   1669.00000000	     16.69000000	      0.05529691	      0.08421845	      0.03510695	      0.04735137	      0.08006222	      0.06556256
   1670.00000000	     16.70000000	      0.05663791	      0.08448239	      0.03625857	      0.04744725	      0.07868733	      0.06544859
   1671.00000000	     16.71000000	      0.05792347	      0.08474983	      0.03730626	      0.04754385	      0.07744224	      0.06533373
   1672.00000000	     16.72000000	      0.05912437	      0.08502345	      0.03822226	      0.04764450	      0.07635686	      0.06521403
   1673.00000000	     16.73000000	      0.06022927	      0.08530425	      0.03899477	      0.04775086	      0.07544315	      0.06508751
   1674.00000000	     16.74000000	      0.06124177	      0.08559193	      0.03962517	      0.04786331	      0.07469831	      0.06495372
   1675.00000000	     16.75000000	      0.06217644	      0.08588533	      0.04012415	      0.04798150	      0.07410910	      0.06481306
   1676.00000000	     16.76000000	      0.06305447	      0.08618292	      0.04050758	      0.04810486	      0.07365649	      0.06466620
   1677.00000000	     16.77000000	      0.06389962	      0.08648314	      0.04079285	      0.04823307	      0.07331980	      0.06451352
   1678.00000000	     16.78000000	      0.06473465	      0.08678475	      0.04099609	      0.04836628	      0.07307995	      0.06435483
   1679.00000000	     16.79000000	      0.06557863	      0.08708685	      0.04113037	      0.04850519	      0.07292148	      0.06418931
   1680.00000000	     16.80000000	      0.06644249	      0.08738885	      0.04120499	      0.04865084	      0.07283343	      0.06401568
   1681.00000000	     16.81000000	      0.06732738	      0.08769014	      0.04122559	      0.04880429	      0.07280911	      0.06383268
   1682.00000000	     16.82000000	      0.06822543	      0.08798985	      0.04119499	      0.04896621	      0.07284523	      0.06363950
   1683.00000000	     16.83000000	      0.06942076	      0.08828644	      0.04111434	      0.04913646	      0.07294040	      0.06343630
   1684.00000000	     16.84000000	      0.07034137	      0.08857749	      0.04098450	      0.04931386	      0.07309363	      0.06322446
   1685.00000000	     16.85000000	      0.07127674	      0.08885959	      0.04080730	      0.04949623	      0.07330275	      0.06300658
   1686.00000000	     16.86000000	      0.07221836	      0.08912852	      0.04058656	      0.04968058	      0.07356327	      0.06278621
   1687.00000000	     16.87000000	      0.07315731	      0.08937962	      0.04032866	      0.04986373	      0.07386768	      0.06256716
   1688.00000000	     16.88000000	      0.07407637	      0.08960834	      0.04004259	      0.05004956	      0.07420540	      0.06235266
   1689.00000000	     16.89000000	      0.07495018	      0.08981090	      0.03973938	      0.05022197	      0.07456343	      0.06214447
   1690.00000000	     16.90000000	      0.07575043	      0.08998495	      0.03943110	      0.05038944	      0.07492755	      0.06194210
   1691.00000000	     16.91000000	      0.07643801	      0.09013929	      0.03912941	      0.05055459	      0.07528401	      0.06174238
   1692.00000000	     16.92000000	      0.07698412	      0.09025565	      0.03884406	      0.05072221	      0.07562132	      0.06153950
   1693.00000000	     16.93000000	      0.07738047	      0.09034730	      0.03858147	      0.05089869	      0.07593184	      0.06132572
