UNKNOWN
version=1
nRows=6001
nColumns=4
inDegrees=no
endheader
time	Coordinates(Deg.)	MG	TA
    291.00000000	      5.82000000	      0.02744236	      0.02487208
    292.00000000	      5.84000000	      0.02726346	      0.02512009
    293.00000000	      5.86000000	      0.02710395	      0.02533180
    294.00000000	      5.88000000	      0.02696739	      0.02550967
    295.00000000	      5.90000000	      0.02685610	      0.02565301
    296.00000000	      5.92000000	      0.02677124	      0.02576171
    297.00000000	      5.94000000	      0.02671321	      0.02583591
    298.00000000	      5.96000000	      0.02668196	      0.02587585
    299.00000000	      5.98000000	      0.02667737	      0.02588172
    300.00000000	      6.00000000	      0.02669940	      0.02585355
    301.00000000	      6.02000000	      0.02674818	      0.02579120
    302.00000000	      6.04000000	      0.02682379	      0.02569444
    303.00000000	      6.06000000	      0.02692605	      0.02556306
    304.00000000	      6.08000000	      0.02705408	      0.02539706
    305.00000000	      6.10000000	      0.02720601	      0.02519692
    306.00000000	      6.12000000	      0.02737870	      0.02496228
    307.00000000	      6.14000000	      0.02756774	      0.02468777
    308.00000000	      6.16000000	      0.02776765	      0.02437544
    309.00000000	      6.18000000	      0.02797228	      0.02403741
    310.00000000	      6.20000000	      0.02817541	      0.02368247
    311.00000000	      6.22000000	      0.02837123	      0.02331889
    312.00000000	      6.24000000	      0.02855480	      0.02295597
    313.00000000	      6.26000000	      0.02872228	      0.02260353
    314.00000000	      6.28000000	      0.02887100	      0.02227146
    315.00000000	      6.30000000	      0.02899939	      0.02196921
    316.00000000	      6.32000000	      0.02910673	      0.02170525
    317.00000000	      6.34000000	      0.02919296	      0.02148655
    318.00000000	      6.36000000	      0.02925840	      0.02131795
    319.00000000	      6.38000000	      0.02930353	      0.02120159
    320.00000000	      6.40000000	      0.02932883	      0.02113697
    321.00000000	      6.42000000	      0.02933459	      0.02112236
    322.00000000	      6.44000000	      0.02932090	      0.02115714
    323.00000000	      6.46000000	      0.02928758	      0.02124263
    324.00000000	      6.48000000	      0.02923424	      0.02138034
    325.00000000	      6.50000000	      0.02916039	      0.02156975
    326.00000000	      6.52000000	      0.02906559	      0.02180759
    327.00000000	      6.54000000	      0.02894964	      0.02208808
    328.00000000	      6.56000000	      0.02881284	      0.02240356
    329.00000000	      6.58000000	      0.02865624	      0.02274510
    330.00000000	      6.60000000	      0.02848182	      0.02310301
    331.00000000	      6.62000000	      0.02829274	      0.02346736
    332.00000000	      6.64000000	      0.02809329	      0.02382849
    333.00000000	      6.66000000	      0.02788881	      0.02417749
    334.00000000	      6.68000000	      0.02768534	      0.02450655
    335.00000000	      6.70000000	      0.02748914	      0.02480434
    336.00000000	      6.72000000	      0.02730615	      0.02506243
    337.00000000	      6.74000000	      0.02714145	      0.02528246
