Filtered (MAV) muscles activityendheader

time	SOL_L	SOL_R	TA_L	TA_R	GL_L	GL_R
40.12800000	0.00004804	0.00010318	0.00013007	0.00012099	0.00003363	0.00011385
40.12850000	0.00004808	0.00010226	0.00012987	0.00011826	0.00003364	0.00011279
40.12900000	0.00004802	0.00010187	0.00012975	0.00011417	0.00003364	0.00011215
40.12950000	0.00004795	0.00010136	0.00012977	0.00011008	0.00003357	0.00011199
40.13000000	0.00004799	0.00010074	0.00012980	0.00010731	0.00003344	0.00011197
40.13050000	0.00004817	0.00010030	0.00012974	0.00010610	0.00003333	0.00011198
40.13100000	0.00004837	0.00009976	0.00012957	0.00010609	0.00003328	0.00011198
40.13150000	0.00004847	0.00009868	0.00012929	0.00010643	0.00003330	0.00011197
40.13200000	0.00004855	0.00009711	0.00012912	0.00010638	0.00003332	0.00011191
40.13250000	0.00004864	0.00009572	0.00012936	0.00010606	0.00003334	0.00011183
40.13300000	0.00004862	0.00009506	0.00012985	0.00010589	0.00003335	0.00011180
40.13350000	0.00004838	0.00009496	0.00013038	0.00010583	0.00003335	0.00011181
40.13400000	0.00004809	0.00009493	0.00013087	0.00010576	0.00003335	0.00011182
40.13450000	0.00004788	0.00009440	0.00013129	0.00010531	0.00003335	0.00011182
40.13500000	0.00004777	0.00009347	0.00013165	0.00010381	0.00003332	0.00011176
40.13550000	0.00004771	0.00009263	0.00013196	0.00010140	0.00003325	0.00011158
40.13600000	0.00004766	0.00009139	0.00013218	0.00009932	0.00003321	0.00011137
40.13650000	0.00004764	0.00008892	0.00013224	0.00009865	0.00003321	0.00011121
40.13700000	0.00004764	0.00008522	0.00013217	0.00009898	0.00003317	0.00011094
40.13750000	0.00004764	0.00008086	0.00013217	0.00009945	0.00003308	0.00011040
40.13800000	0.00004764	0.00007700	0.00013230	0.00009961	0.00003304	0.00010986
40.13850000	0.00004766	0.00007445	0.00013251	0.00009949	0.00003308	0.00010954
40.13900000	0.00004766	0.00007333	0.00013277	0.00009911	0.00003319	0.00010905
40.13950000	0.00004765	0.00007332	0.00013303	0.00009834	0.00003326	0.00010792
40.14000000	0.00004764	0.00007259	0.00013329	0.00009720	0.00003325	0.00010567
40.14050000	0.00004764	0.00007188	0.00013362	0.00009606	0.00003316	0.00010233
40.14100000	0.00004766	0.00007187	0.00013404	0.00009524	0.00003300	0.00009891
40.14150000	0.00004766	0.00007141	0.00013443	0.00009475	0.00003280	0.00009633
40.14200000	0.00004766	0.00007060	0.00013455	0.00009461	0.00003260	0.00009501
40.14250000	0.00004765	0.00007017	0.00013460	0.00009470	0.00003252	0.00009454
40.14300000	0.00004765	0.00006999	0.00013538	0.00009413	0.00003254	0.00009448
40.14350000	0.00004769	0.00006968	0.00013671	0.00009194	0.00003258	0.00009445
40.14400000	0.00004775	0.00006936	0.00013740	0.00008898	0.00003260	0.00009419
40.14450000	0.00004777	0.00006936	0.00013745	0.00008694	0.00003258	0.00009386
40.14500000	0.00004778	0.00006840	0.00013745	0.00008604	0.00003255	0.00009355
40.14550000	0.00004778	0.00006543	0.00013745	0.00008589	0.00003250	0.00009310
40.14600000	0.00004777	0.00006211	0.00013745	0.00008584	0.00003250	0.00009255
40.14650000	0.00004774	0.00005975	0.00013753	0.00008524	0.00003259	0.00009206
40.14700000	0.00004771	0.00005805	0.00013785	0.00008443	0.00003269	0.00009163
40.14750000	0.00004766	0.00005680	0.00013837	0.00008432	0.00003272	0.00009128
40.14800000	0.00004759	0.00005609	0.00013862	0.00008430	0.00003266	0.00009110
40.14850000	0.00004744	0.00005592	0.00013850	0.00008405	0.00003260	0.00009108
40.14900000	0.00004715	0.00005596	0.00013831	0.00008439	0.00003261	0.00009107
40.14950000	0.00004675	0.00005599	0.00013821	0.00008542	0.00003266	0.00009107
40.15000000	0.00004642	0.00005600	0.00013820	0.00008645	0.00003270	0.00009067
40.15050000	0.00004622	0.00005599	0.00013819	0.00008694	0.00003272	0.00008809
40.15100000	0.00004612	0.00005597	0.00013833	0.00008695	0.00003271	0.00008262
40.15150000	0.00004604	0.00005597	0.00013874	0.00008688	0.00003270	0.00007562
