Toe y trajetcoriesendheader

time	leftToe	rightToe
48.79400000	118.39977529	30.34654327
48.79600000	117.92278715	30.35686298
48.79800000	117.32092072	30.41618037
48.80000000	116.66599351	30.42985596
48.80200000	115.93473818	30.43490848
48.80400000	115.13688832	30.44666767
48.80600000	114.23534016	30.51403841
48.80800000	113.31308935	30.45025827
48.81000000	112.34021200	30.53747850
48.81200000	111.34313976	30.57345067
48.81400000	109.63436821	30.56895209
48.81600000	108.72341974	30.57351481
48.81800000	107.52705237	30.64277807
48.82000000	106.59951935	30.62037066
48.82200000	105.32028770	30.68024590
48.82400000	104.12141869	30.72172006
48.82600000	102.96317408	30.73389801
48.82800000	101.68867213	30.76460462
48.83000000	100.48550220	30.81253199
48.83200000	99.27846697	30.81802287
48.83400000	97.99660886	30.83889079
48.83600000	96.78225117	30.87612628
48.83800000	95.47338112	30.85453607
48.84000000	94.19359054	30.88696676
48.84200000	92.93308094	30.93260604
48.84400000	91.72469214	30.91021652
48.84600000	90.50284159	30.98528664
48.84800000	89.29204508	30.96254986
48.85000000	88.00531122	30.88618859
48.85200000	86.72986635	30.74272353
48.85400000	85.47770120	31.32650113
48.85600000	84.21119039	31.27034918
48.85800000	83.09822557	30.19161674
48.86000000	81.89441318	31.18831691
48.86200000	80.64857430	31.42599620
48.86400000	79.47007586	30.22031810
48.86600000	78.28967136	30.44698354
48.86800000	77.18028061	30.38588583
48.87000000	76.03964894	30.45718014
48.87200000	75.03212701	30.71810250
48.87400000	73.93462288	30.44388955
48.87600000	73.00164563	30.44036106
48.87800000	71.95215351	30.53821210
48.88000000	71.17327194	30.48774308
48.88200000	70.28463622	30.51366354
48.88400000	69.52018386	30.59005349
48.88600000	68.71014661	30.63042976
48.88800000	68.01982362	30.57591943
48.89000000	67.33571318	30.73957185
48.89200000	66.76836517	30.64381733
48.89400000	66.16958381	30.77183550
48.89600000	65.70055670	31.64979719
48.89800000	65.22727854	31.69360587
48.90000000	64.91844256	31.58014328
48.90200000	64.65549293	31.84460111
48.90400000	64.40873254	31.78631090
48.90600000	64.26774346	31.84922191
48.90800000	63.44502268	31.86379947
48.91000000	64.09721514	31.78518202
48.91200000	63.89362882	32.07671440
48.91400000	63.99757179	32.05584034
48.91600000	64.23051822	32.12901626
48.91800000	64.25706088	32.12783266
48.92000000	65.35724079	32.20995702
48.92200000	65.70056191	32.22974520
48.92400000	66.08018255	32.36081407
48.92600000	66.86857503	32.30570830
48.92800000	67.07457765	32.47588938
48.93000000	67.28823731	32.48522704
48.93200000	67.95701085	32.50470406
48.93400000	68.64234327	32.55935443
48.93600000	69.38745423	32.57942501
48.93800000	70.30231215	32.51517175
48.94000000	71.19349113	32.64844627
48.94200000	72.19774041	32.59976916
48.94400000	73.29143260	32.53756163
48.94600000	74.43982073	32.43455626
48.94800000	75.66545393	32.41126272
48.95000000	77.01016762	32.55615599
48.95200000	78.44857193	32.31489122
48.95400000	79.88864309	32.33226932
48.95600000	81.41987584	32.26722176
48.95800000	82.79610013	32.32296329
48.96000000	84.48387268	32.23423765
48.96200000	86.06152030	32.15066434
48.96400000	87.53026989	32.03214455
48.96600000	89.30202707	31.65175369
48.96800000	90.73366736	31.66947035
48.97000000	92.46091034	31.69604680
48.97200000	93.88721150	31.74571299
48.97400000	95.53514911	31.80380041
48.97600000	96.99581239	31.94558006
48.97800000	98.32428245	31.97973990
48.98000000	99.73049221	32.11145477
48.98200000	101.10951698	32.17878414
48.98400000	102.30708581	32.30502680
48.98600000	103.41332893	32.19637437
48.98800000	104.44610187	32.31158587
48.99000000	105.36530553	32.37045416
48.99200000	106.05372047	32.48198915
48.99400000	106.41002698	32.59090704
48.99600000	106.89444800	32.63588745
48.99800000	107.08105443	32.79019077
49.00000000	106.98674507	32.80041021
49.00200000	106.87518965	32.86920532
49.00400000	106.58599363	33.00512304
49.00600000	106.15246190	32.98010797
49.00800000	105.56260570	33.13865900
49.01000000	104.97991697	33.00363381
49.01200000	104.22666019	32.88473925
49.01400000	103.10601679	32.93274068
49.01600000	102.16201046	33.22865657
49.01800000	100.83486402	33.28411895
49.02000000	99.64894563	33.57971234
49.02200000	98.15378385	33.75183876
49.02400000	96.54726554	33.99755060
49.02600000	94.83048962	34.29989243
49.02800000	93.04170335	34.48671032
49.03000000	91.12608443	34.83544490
49.03200000	89.09137615	35.04240224
49.03400000	86.94282508	35.38611842
49.03600000	84.70294159	35.65207430
49.03800000	81.77939993	36.09095544
49.04000000	78.45322694	36.35599524
49.04200000	74.28453010	36.75777416
49.04400000	69.45360273	37.11590327
49.04600000	63.76279274	37.54837845
49.04800000	59.77534769	37.90557620
49.05000000	56.29913757	38.35911242
49.05200000	53.42328120	38.82967810
49.05400000	50.96452532	39.45915632
49.05600000	49.05091140	40.08997213
49.05800000	47.56382587	40.88240580
49.06000000	46.23888632	41.72759118
49.06200000	44.99112839	42.56356505
49.06400000	43.80629395	43.56785383
49.06600000	42.35041691	44.59690948
49.06800000	40.86600195	45.71457679
49.07000000	39.28480624	46.97491718
49.07200000	37.98784596	48.28685284
49.07400000	37.01298601	49.73147991
49.07600000	36.36025082	51.24298790
49.07800000	35.91213676	52.96918437
49.08000000	35.39324936	54.71112725
49.08200000	34.85416281	56.62974718
49.08400000	34.46503421	58.58876410
49.08600000	34.02090829	60.68880514
49.08800000	33.53101992	62.87353949
49.09000000	33.08615607	65.06082380
49.09200000	32.54932750	67.27542588
49.09400000	32.03258533	69.52647057
49.09600000	31.61975339	71.75592836
49.09800000	31.90757713	74.03192651
49.10000000	31.74870770	76.32748340
49.10200000	31.78376648	78.52793620
49.10400000	31.75775430	80.74417278
49.10600000	31.79741077	82.95804294
49.10800000	31.75629993	84.96800785
49.11000000	31.84431383	87.13819289
49.11200000	31.78685737	89.13018297
49.11400000	31.80302155	91.23851785
49.11600000	31.66179737	93.16497165
49.11800000	31.71681463	95.20900534
49.12000000	31.64775789	97.03384521
49.12200000	31.63107623	98.93664075
49.12400000	31.49393586	100.64601980
49.12600000	31.49370149	102.18056486
49.12800000	31.41579380	103.77964264
49.13000000	31.44033562	105.17774661
49.13200000	31.44134760	106.51965271
49.13400000	31.32536810	107.89643726
49.13600000	31.37229444	109.12422841
49.13800000	31.34290564	110.30420657
49.14000000	31.38033187	111.36975702
49.14200000	31.29381186	112.33881620
49.14400000	31.32264137	113.48677977
49.14600000	31.30041932	114.26454012
49.14800000	31.62060115	115.03448310
49.15000000	31.50237686	115.86227124
49.15200000	31.55041107	116.59145452
49.15400000	31.44049794	117.09136437
49.15600000	31.49425877	117.71156028
49.15800000	31.43406565	118.14557937
49.16000000	31.45966262	118.48839934
49.16200000	31.35211737	118.72737185
49.16400000	31.36557506	119.06144676
49.16600000	31.37654422	119.06876401
49.16800000	31.36002163	119.20806409
49.17000000	31.28647892	119.27295399
49.17200000	31.25249997	119.12002205
49.17400000	31.28854313	119.06501302
49.17600000	31.29682122	118.88295094
49.17800000	31.22090839	118.75435552
49.18000000	31.24688981	118.37979005
49.18200000	29.91016639	118.08913767
49.18400000	29.86548684	117.89174282
49.18600000	29.73853758	117.61942275
49.18800000	30.42693023	117.21162477
49.19000000	31.05840968	116.69443817
49.19200000	31.03319722	116.06688020
49.19400000	31.03816720	115.49021153
49.19600000	31.13382072	114.76648165
49.19800000	30.95248447	114.11119224
49.20000000	31.08677635	113.36268610
49.20200000	31.02944474	112.59747023
49.20400000	31.06837336	111.78990831
49.20600000	31.01528315	110.91901095
49.20800000	30.98432384	109.52889117
49.21000000	30.99205248	108.70899984
49.21200000	30.98551513	107.74927098
49.21400000	30.96283745	106.76083434
49.21600000	30.93308199	105.74748454
49.21800000	30.93215798	104.51943247
49.22000000	30.89805115	103.46434995
49.22200000	30.92510588	102.87932094
49.22400000	30.81826894	101.63877021
49.22600000	30.91397693	100.55125625
49.22800000	30.84340555	99.37686600
49.23000000	30.92286825	98.17953112
49.23200000	30.77853397	96.31881587
49.23400000	30.81106370	95.09954271
49.23600000	30.79234718	93.69295730
49.23800000	30.82001298	92.28561210
49.24000000	30.79690564	90.97505813
49.24200000	30.82290676	89.53288201
49.24400000	30.75341674	88.04915543
49.24600000	30.83764521	86.60815069
49.24800000	30.78436714	85.19556796
49.25000000	30.80197059	83.70444784
49.25200000	30.04009643	82.23655258
49.25400000	29.55096681	80.95732414
49.25600000	29.58415926	79.49608626
49.25800000	29.51122270	77.79548428
49.26000000	29.48834918	76.50867572
49.26200000	29.56209947	75.04928363
49.26400000	29.45560900	73.55754755
49.26600000	29.59419900	72.15944853
49.26800000	29.45763976	70.73565928
49.27000000	29.56738214	69.32904053
49.27200000	29.59277055	68.02477972
49.27400000	29.54230957	66.53257130
49.27600000	29.61300627	65.25303204
49.27800000	29.53270795	64.02518478
49.28000000	29.60690814	62.80390267
49.28200000	30.91858648	61.63074972
49.28400000	30.83206462	60.50311876
49.28600000	30.97289254	59.48218207
49.28800000	30.95518427	58.37903140
49.29000000	30.97140855	57.21340002
49.29200000	31.07623706	56.22443246
49.29400000	31.02895607	55.28683119
49.29600000	31.11747408	54.37878927
49.29800000	31.07190487	53.61929630
49.30000000	31.21617979	52.84309144
49.30200000	31.20471404	52.08850390
49.30400000	31.28106182	51.83224523
49.30600000	31.31428752	51.37897110
49.30800000	31.35988662	51.22297694
49.31000000	31.42651887	50.72322124
49.31200000	31.54509433	50.23688091
49.31400000	31.49437637	49.48002531
49.31600000	31.61691049	49.06566214
49.31800000	31.58816879	48.71302585
49.32000000	31.73066725	48.38159219
49.32200000	31.67879823	48.13032814
49.32400000	31.76305887	47.89815410
49.32600000	31.78850570	47.57878310
49.32800000	31.87841962	47.52041277
49.33000000	31.90652454	47.45601295
49.33200000	31.95962495	47.42025664
49.33400000	31.92887331	47.50799102
49.33600000	31.86027713	47.59807941
49.33800000	32.01221342	47.74401604
49.34000000	32.06285145	47.96273338
49.34200000	31.89842954	48.22278124
49.34400000	31.93090090	48.50369957
49.34600000	31.95650504	48.88997610
49.34800000	31.90771751	49.35519994
49.35000000	31.89678668	49.78131187
49.35200000	31.85792139	50.30234941
49.35400000	31.84853504	50.79791792
49.35600000	31.82848131	51.48434255
49.35800000	31.20724968	52.19306933
49.36000000	31.21909099	53.00192749
49.36200000	31.22354432	53.85207717
49.36400000	31.22658620	54.85086874
49.36600000	31.22857587	55.90521422
49.36800000	31.22065396	57.00379036
49.37000000	31.25989379	58.25622112
49.37200000	31.28394640	59.49334484
49.37400000	31.23135913	60.80481542
49.37600000	31.27198294	62.13311211
49.37800000	31.23169962	63.46733102
49.38000000	31.23658331	64.77333096
49.38200000	31.24576199	66.10864407
49.38400000	31.34818667	67.34913937
49.38600000	31.18909100	68.58268030
49.38800000	31.00250274	69.74657689
49.39000000	31.02037017	70.79756627
49.39200000	30.93566299	71.78726327
49.39400000	30.97331479	72.69720560
49.39600000	30.92286635	73.39100198
49.39800000	30.93910468	74.09098442
49.40000000	30.98688827	74.71432266
49.40200000	30.94585631	75.14300741
49.40400000	30.98318016	75.50536692
49.40600000	30.93044844	75.71438004
49.40800000	30.95242442	75.87541916
49.41000000	30.98386463	75.97701026
49.41200000	30.99566560	75.94511499
49.41400000	31.00237437	75.79273211
49.41600000	31.01666648	75.57979738
49.41800000	31.07556407	75.32343076
49.42000000	31.06818333	74.91777894
49.42200000	31.05051680	74.48365895
49.42400000	31.07240271	73.93382997
49.42600000	31.14614737	73.35437067
49.42800000	31.18049254	72.60495189
49.43000000	31.26947454	71.80485986
49.43200000	31.27183810	70.93813768
49.43400000	31.32668135	69.92903601
49.43600000	31.37892362	68.84530961
49.43800000	31.44021567	67.66205076
49.44000000	31.46378280	66.44175660
49.44200000	31.58630759	65.14468038
49.44400000	31.66786965	63.85644546
49.44600000	31.77034580	62.43108125
49.44800000	31.89381953	60.94161188
49.45000000	32.13489344	59.01302094
49.45200000	32.20280271	56.81435660
49.45400000	32.48505861	53.74318158
49.45600000	32.68467604	49.81623414
49.45800000	32.98715920	46.00978196
49.46000000	33.20739379	42.44618135
49.46200000	33.52207796	38.98925945
49.46400000	33.82827145	35.99678696
49.46600000	34.16978739	32.68763791
49.46800000	34.47255890	32.87447669
49.47000000	34.93776422	33.64156042
49.47200000	35.40733248	34.25071219
49.47400000	35.92642169	34.77694035
49.47600000	36.58501425	34.66562720
49.47800000	37.28285867	34.15736652
49.48000000	38.17328103	33.57178504
49.48200000	39.13773098	33.18380966
49.48400000	40.27331463	32.58956217
49.48600000	41.55957978	32.18285048
49.48800000	42.98306696	31.88682564
49.49000000	44.68263095	31.63257647
49.49200000	46.43820480	31.27871551
49.49400000	48.44995551	31.07329939
49.49600000	50.48586383	30.90113770
49.49800000	52.50364907	30.77890116
49.50000000	54.77654717	30.50922403
49.50200000	57.07548050	30.41762971
49.50400000	59.55094162	30.21830200
49.50600000	62.09551475	30.02829127
49.50800000	64.77644419	29.91723060
49.51000000	67.63343181	29.74978625
49.51200000	70.48407810	29.70434838
49.51400000	73.07020554	29.56919215
49.51600000	75.92535377	29.56061801
49.51800000	78.84766877	29.48651004
49.52000000	81.52200876	29.44663550
49.52200000	84.33643953	29.43654372
49.52400000	87.25702362	29.38162702
49.52600000	90.24639595	29.36395252
49.52800000	93.02105256	29.37419148
49.53000000	95.87243648	29.36376218
49.53200000	98.75754518	29.32635513
49.53400000	101.45263964	29.29279441
49.53600000	104.10550475	29.35583524
49.53800000	106.67924469	29.25250737
49.54000000	109.21881349	29.32143818
49.54200000	111.61920849	29.28647682
49.54400000	113.89565055	29.25687986
49.54600000	116.17523497	29.24842041
49.54800000	118.11163919	29.21503224
49.55000000	120.04054712	29.90898517
49.55200000	121.73090536	29.85429419
49.55400000	123.30193983	29.90611019
49.55600000	124.78837556	29.94194229
49.55800000	126.20895630	29.86303771
49.56000000	127.66558652	29.91174457
49.56200000	128.75002536	29.91344867
49.56400000	129.72729447	29.87937266
49.56600000	130.70206776	29.91984733
49.56800000	131.59476844	29.84927698
49.57000000	132.18223074	29.86814660
49.57200000	132.76513267	29.82194300
49.57400000	133.35492341	29.82499571
49.57600000	133.70492998	29.82788824
49.57800000	134.02033718	29.79975489
49.58000000	134.16610921	29.76784010
49.58200000	134.09522746	29.76642293
49.58400000	133.94709533	29.74968178
49.58600000	134.31759584	29.77037366
49.58800000	133.68198085	29.69385024
49.59000000	133.50833061	29.71830758
49.59200000	133.18191256	29.65137033
49.59400000	132.71794113	29.68718657
49.59600000	132.31981785	29.65203865
49.59800000	131.79804462	29.64478714
49.60000000	131.23806962	29.61848835
49.60200000	130.55400075	29.63016592
49.60400000	129.93075424	29.59259675
49.60600000	129.13694733	29.58667262
49.60800000	128.31234623	29.61951439
49.61000000	127.45920654	29.56725682
49.61200000	126.59495980	29.56377159
49.61400000	125.64041021	29.58274380
49.61600000	124.57787697	29.57907046
49.61800000	123.48577956	29.52464867
49.62000000	122.29914920	29.57745959
49.62200000	120.56494630	29.55630837
49.62400000	119.53274810	29.58426547
49.62600000	118.17409252	29.53654692
49.62800000	116.92114050	29.58827087
49.63000000	115.78339648	29.49350133
49.63200000	114.48715946	29.52445442
49.63400000	113.16332805	29.48831709
